gvkey,company_name,date,year,quarter,cds_spread,cds_spread_lead_4q,future_cds_change_abs,future_cds_change_pct,distress_flag
7171,McKesson Corporation,2024-09-30,2024,3,39.19046666666667,,,,
7171,McKesson Corporation,2024-12-31,2024,4,40.829775,,,,
7171,McKesson Corporation,2025-03-31,2025,1,,,,,
7171,McKesson Corporation,2025-06-30,2025,2,,,,,
7171,McKesson Corporation,2025-09-30,2025,3,,,,,
7186,Medco Health Solutions,2010-03-31,2010,1,60.24913333333333,75.73386666666666,15.484733333333324,0.25701171911739795,1.0
7186,Medco Health Solutions,2010-06-30,2010,2,73.63243333333334,92.82783333333332,19.195399999999978,0.2606921859162603,1.0
7186,Medco Health Solutions,2010-09-30,2010,3,70.64970000000001,101.55273333333334,30.903033333333326,0.4374120956399436,1.0
7186,Medco Health Solutions,2010-12-31,2010,4,73.86936666666666,85.36933333333333,11.499966666666666,0.15567977885284878,0.0
7186,Medco Health Solutions,2011-03-31,2011,1,75.73386666666666,49.65226666666666,-26.081599999999995,-0.34438489869789646,0.0
7186,Medco Health Solutions,2011-06-30,2011,2,92.82783333333332,,,,
7186,Medco Health Solutions,2011-09-30,2011,3,101.55273333333334,,,,
7186,Medco Health Solutions,2011-12-31,2011,4,85.36933333333333,,,,
7186,Medco Health Solutions,2012-03-31,2012,1,49.65226666666666,,,,
7241,CVS Health Corporation,2010-03-31,2010,1,,,,,
7241,CVS Health Corporation,2010-06-30,2010,2,,,,,
7241,CVS Health Corporation,2010-09-30,2010,3,,,,,
7241,CVS Health Corporation,2010-12-31,2010,4,,,,,
7241,CVS Health Corporation,2011-03-31,2011,1,,82.37203333333333,,,0.0
7241,CVS Health Corporation,2011-06-30,2011,2,,83.7113,,,0.0
7241,CVS Health Corporation,2011-09-30,2011,3,,78.51003333333334,,,0.0
7241,CVS Health Corporation,2011-12-31,2011,4,,66.8631,,,0.0
7241,CVS Health Corporation,2012-03-31,2012,1,82.37203333333333,63.9433,-18.428733333333334,-0.22372560913675799,0.0
7241,CVS Health Corporation,2012-06-30,2012,2,83.7113,59.7621,-23.949199999999998,-0.2860927975076244,0.0
7241,CVS Health Corporation,2012-09-30,2012,3,78.51003333333334,54.468050000000005,-24.041983333333334,-0.3062281636190024,0.0
7241,CVS Health Corporation,2012-12-31,2012,4,66.8631,49.36773333333334,-17.495366666666662,-0.2616595202236609,0.0
7241,CVS Health Corporation,2013-03-31,2013,1,63.9433,46.71266666666667,-17.23063333333333,-0.26946737708772195,0.0
7241,CVS Health Corporation,2013-06-30,2013,2,59.7621,45.88173333333333,-13.880366666666667,-0.23226035675899387,0.0
7241,CVS Health Corporation,2013-09-30,2013,3,54.468050000000005,40.41363333333334,-14.054416666666668,-0.2580304722982862,0.0
7241,CVS Health Corporation,2013-12-31,2013,4,49.36773333333334,23.2591,-26.10863333333334,-0.5288602812093189,0.0
7241,CVS Health Corporation,2014-03-31,2014,1,46.71266666666667,18.690063,-28.022603666666672,-0.599893041145157,0.0
7241,CVS Health Corporation,2014-06-30,2014,2,45.88173333333333,24.203466666666667,-21.678266666666662,-0.472481423253408,0.0
7241,CVS Health Corporation,2014-09-30,2014,3,40.41363333333334,31.11103333333333,-9.302600000000005,-0.23018469839798297,0.0
7241,CVS Health Corporation,2014-12-31,2014,4,23.2591,28.882800000000003,5.623700000000003,0.2417849357885732,0.0
7241,CVS Health Corporation,2015-03-31,2015,1,18.690063,27.25453333333333,8.564470333333333,0.45823656845529803,1.0
7241,CVS Health Corporation,2015-06-30,2015,2,24.203466666666667,25.1241,0.9206333333333312,0.038037250862135365,0.0
7241,CVS Health Corporation,2015-09-30,2015,3,31.11103333333333,24.15723333333333,-6.953800000000001,-0.223515558788897,0.0
7241,CVS Health Corporation,2015-12-31,2015,4,28.882800000000003,35.876933333333334,6.99413333333333,0.2421556543456081,0.0
7241,CVS Health Corporation,2016-03-31,2016,1,27.25453333333333,44.56436666666667,17.30983333333334,0.6351175828852941,1.0
7241,CVS Health Corporation,2016-06-30,2016,2,25.1241,47.53636666666667,22.412266666666675,0.8920624685726722,1.0
7241,CVS Health Corporation,2016-09-30,2016,3,24.15723333333333,48.4316,24.274366666666673,1.004848789251529,1.0
7241,CVS Health Corporation,2016-12-31,2016,4,35.876933333333334,55.038,19.161066666666663,0.5340776060384201,1.0
7241,CVS Health Corporation,2017-03-31,2017,1,44.56436666666667,61.08183333333333,16.517466666666657,0.3706429127606433,1.0
7241,CVS Health Corporation,2017-06-30,2017,2,47.53636666666667,66.48983333333332,18.95346666666665,0.398715089009046,1.0
7241,CVS Health Corporation,2017-09-30,2017,3,48.4316,72.62603333333334,24.194433333333336,0.4995588279828322,1.0
7241,CVS Health Corporation,2017-12-31,2017,4,55.038,65.22853333333335,10.190533333333349,0.18515449931562464,0.0
7241,CVS Health Corporation,2018-03-31,2018,1,61.08183333333333,73.06676666666667,11.984933333333338,0.19621109386042232,0.0
7241,CVS Health Corporation,2018-06-30,2018,2,66.48983333333332,87.47046666666667,20.980633333333344,0.3155464870569187,1.0
7241,CVS Health Corporation,2018-09-30,2018,3,72.62603333333334,68.436725,-4.189308333333344,-0.057683287122478256,0.0
7241,CVS Health Corporation,2018-12-31,2018,4,65.22853333333335,65.55753333333332,0.3289999999999793,0.005043804960609967,0.0
7241,CVS Health Corporation,2019-03-31,2019,1,73.06676666666667,68.59823333333334,-4.468533333333326,-0.06115685060649998,0.0
7241,CVS Health Corporation,2019-06-30,2019,2,87.47046666666667,50.83923333333333,-36.631233333333334,-0.4187840162431968,0.0
7241,CVS Health Corporation,2019-09-30,2019,3,68.436725,40.2206,-28.216124999999998,-0.4122950798712241,0.0
7241,CVS Health Corporation,2019-12-31,2019,4,65.55753333333332,50.53733333333333,-15.020199999999996,-0.22911478263876103,0.0
7241,CVS Health Corporation,2020-03-31,2020,1,68.59823333333334,50.852133333333335,-17.746100000000006,-0.2586961666165359,0.0
7241,CVS Health Corporation,2020-06-30,2020,2,50.83923333333333,47.394533333333335,-3.4446999999999974,-0.06775672594066126,0.0
7241,CVS Health Corporation,2020-09-30,2020,3,40.2206,40.8217,0.6011000000000024,0.014945077895406892,0.0
7241,CVS Health Corporation,2020-12-31,2020,4,50.53733333333333,41.39433333333333,-9.143,-0.18091575864707282,0.0
7241,CVS Health Corporation,2021-03-31,2021,1,50.852133333333335,43.95973333333333,-6.892400000000002,-0.13553806985482095,0.0
7241,CVS Health Corporation,2021-06-30,2021,2,47.394533333333335,62.054633333333335,14.6601,0.3093204842189957,1.0
7241,CVS Health Corporation,2021-09-30,2021,3,40.8217,61.7818,20.960099999999997,0.5134548536685145,1.0
7241,CVS Health Corporation,2021-12-31,2021,4,41.39433333333333,69.98176666666666,28.58743333333333,0.6906122416111706,1.0
7241,CVS Health Corporation,2022-03-31,2022,1,43.95973333333333,64.36116666666668,20.401433333333344,0.4640936554058565,1.0
7241,CVS Health Corporation,2022-06-30,2022,2,62.054633333333335,62.9923,0.9376666666666651,0.01511034094150367,0.0
7241,CVS Health Corporation,2022-09-30,2022,3,61.7818,57.9391,-3.8426999999999936,-0.062197928839884786,0.0
7241,CVS Health Corporation,2022-12-31,2022,4,69.98176666666666,59.6484,-10.333366666666656,-0.1476579851990017,0.0
7241,CVS Health Corporation,2023-03-31,2023,1,64.36116666666668,46.35863333333333,-18.002533333333346,-0.2797111094422881,0.0
