iqt,date,cds_spread
IQT127280715,2014-08-26,138.6188
IQT127280715,2014-09-25,138.6702
IQT127280715,2014-10-25,155.2208
IQT127280715,2014-11-24,143.5708
IQT127280715,2014-12-24,150.8079
IQT127280715,2015-01-23,151.1902
IQT127280715,2015-02-22,140.1195
IQT127280715,2015-03-24,131.745
IQT127280715,2015-04-23,121.2343
IQT127280715,2015-05-23,129.8595
IQT127280715,2015-06-22,130.243
IQT127280715,2015-07-22,144.5989
IQT127280715,2015-08-21,155.9246
IQT127280715,2015-09-20,150.5333
IQT127280715,2015-10-20,153.854
IQT127280715,2015-11-19,148.8312
IQT127280715,2015-12-19,159.4549
IQT127280715,2016-01-18,210.0781
IQT127280715,2016-02-17,232.4611
IQT127280715,2016-03-18,179.2837
IQT127280715,2016-04-17,214.2361
IQT127280715,2016-05-17,172.0481
IQT127280715,2016-06-16,194.9357
IQT127280715,2016-07-16,165.3
IQT127280715,2016-08-15,157.2706
IQT127280715,2016-09-14,179.9394
IQT127280715,2016-10-14,175.7699
IQT127280715,2016-11-13,171.7097
IQT127280715,2016-12-13,155.684
IQT127280715,2017-01-12,140.8461
IQT127280715,2017-02-11,137.5241
IQT127280715,2017-03-13,120.5398
IQT127280715,2017-04-12,151.8684
IQT127280715,2017-05-12,145.2735
IQT127280715,2017-06-11,140.9605
IQT127280715,2017-07-11,131.4586
IQT127280715,2017-08-10,125.0709
IQT127280715,2017-09-09,102.291
IQT127280715,2017-10-09,87.7492
IQT127280715,2017-11-08,83.1999
IQT127280715,2017-12-08,90.0117
IQT127280715,2018-01-07,79.2586
IQT127280715,2018-02-06,95.0234
IQT127280715,2018-03-08,95.5296
IQT127280715,2018-04-07,109.1434
IQT127280715,2018-05-07,102.6919
IQT127280715,2018-06-06,93.1226
IQT127280715,2018-07-06,122.3745
IQT127280715,2018-08-05,116.049
IQT127280715,2018-09-04,118.9388
IQT127280715,2018-10-04,133.3162
IQT127280715,2018-11-03,142.3199
IQT127280715,2018-12-03,158.606
IQT127280715,2019-01-02,196.7584
IQT127280715,2019-02-01,151.4745
IQT127280715,2019-03-03,125.8914
IQT127280715,2019-04-02,138.5249
IQT127280715,2019-05-02,115.5391
IQT127280715,2019-06-01,173.5212
IQT127280715,2019-07-01,125.7015
